α,p
0.32,0.05
0.32,0.06
0.32,0.07
0.32,0.08
0.32,0.09
0.32,0.1
0.32,0.11
0.32,0.12
0.32,0.13
0.32,0.14
0.32,0.15
0.32,0.16
0.32,0.17
0.32,0.18
0.32,0.19
0.32,0.2
0.32,0.21
0.32,0.22
0.32,0.23
0.32,0.24
0.32,0.25
0.32,0.26
0.32,0.27
0.32,0.28
0.32,0.29
0.32,0.3
0.32,0.31
0.32,0.32
0.32,0.33
0.32,0.34
0.32,0.35
0.32,0.36
0.32,0.37
0.32,0.38
0.32,0.39
0.32,0.4
0.32,0.41
0.32,0.42
0.32,0.43
0.32,0.44
0.32,0.45
0.32,0.46
0.32,0.47
0.32,0.48
0.32,0.49
0.32,0.5
0.32,0.51
0.32,0.52
0.32,0.53
0.32,0.54
0.32,0.55
0.32,0.56
0.32,0.57
0.32,0.58
0.32,0.59
0.32,0.6
0.32,0.61
0.32,0.62
0.32,0.63
0.32,0.64
0.32,0.65
0.32,0.66
0.32,0.67
0.32,0.68
0.32,0.69
0.32,0.7
0.32,0.71
0.32,0.72
0.32,0.73
0.32,0.74
0.32,0.75
0.32,0.76
0.32,0.77
0.32,0.78
0.32,0.79
0.32,0.8
0.32,0.81
0.32,0.82
0.32,0.83
0.32,0.84
0.32,0.85
0.32,0.86
0.32,0.87
0.32,0.88
0.32,0.89
0.32,0.9
0.32,0.91
0.32,0.92
0.32,0.93
0.32,0.94
0.32,0.95
0.32,0.96
0.32,0.97
0.32,0.98
0.32,0.99
0.32,1.0
0.33,0.01
0.33,0.02
0.33,0.03
0.33,0.04
0.33,0.05
0.33,0.06
0.33,0.07
0.33,0.08
0.33,0.09
0.33,0.1
0.33,0.11
0.33,0.12
0.33,0.13
0.33,0.14
0.33,0.15
0.33,0.16
0.33,0.17
0.33,0.18
0.33,0.19
0.33,0.2
0.33,0.21
0.33,0.22
0.33,0.23
0.33,0.24
0.33,0.25
0.33,0.26
0.33,0.27
0.33,0.28
0.33,0.29
0.33,0.3
0.33,0.31
0.33,0.32
0.33,0.33
0.33,0.34
0.33,0.35
0.33,0.36
0.33,0.37
0.33,0.38
0.33,0.39
0.33,0.4
0.33,0.41
0.33,0.42
0.33,0.43
0.33,0.44
0.33,0.45
0.33,0.46
0.33,0.47
0.33,0.48
0.33,0.49
0.33,0.5
0.33,0.51
0.33,0.52
0.33,0.53
0.33,0.54
0.33,0.55
0.33,0.56
0.33,0.57
0.33,0.58
0.33,0.59
0.33,0.6
0.33,0.61
0.33,0.62
0.33,0.63
0.33,0.64
0.33,0.65
0.33,0.66
0.33,0.67
0.33,0.68
0.33,0.69
0.33,0.7
0.33,0.71
0.33,0.72
0.33,0.73
0.33,0.74
0.33,0.75
0.33,0.76
0.33,0.77
0.33,0.78
0.33,0.79
0.33,0.8
0.33,0.81
0.33,0.82
0.33,0.83
0.33,0.84
0.33,0.85
0.33,0.86
0.33,0.87
0.33,0.88
0.33,0.89
0.33,0.9
0.33,0.91
0.33,0.92
0.33,0.93
0.33,0.94
0.33,0.95
0.33,0.96
0.33,0.97
0.33,0.98
0.33,0.99
0.33,1.0
0.34,0.01
0.34,0.02
0.34,0.03
0.34,0.04
0.34,0.05
0.34,0.06
0.35,0.01
0.35,0.02
0.35,0.03
0.36,0.01
0.36,0.02
0.37,0.01
0.38,0.01
0.39,0.01
0.4,0.01
