α,p
0.057,0.53
0.057,0.54
0.057,0.55
0.057,0.56
0.057,0.57
0.057,0.58
0.057,0.59
0.057,0.6
0.057,0.61
0.057,0.62
0.057,0.63
0.057,0.64
0.057,0.65
0.057,0.66
0.057,0.67
0.057,0.68
0.057,0.69
0.057,0.7
0.057,0.71
0.057,0.72
0.057,0.73
0.057,0.74
0.057,0.75
0.057,0.76
0.057,0.77
0.057,0.78
0.057,0.79
0.057,0.8
0.057,0.81
0.057,0.82
0.057,0.83
0.057,0.84
0.057,0.85
0.057,0.86
0.057,0.87
0.057,0.88
0.057,0.89
0.057,0.9
0.057,0.91
0.057,0.92
0.057,0.93
0.057,0.94
0.058,0.49
0.058,0.5
0.058,0.51
0.058,0.52
0.058,0.53
0.058,0.54
0.058,0.55
0.058,0.56
0.058,0.57
0.058,0.58
0.058,0.59
0.058,0.6
0.058,0.61
0.058,0.62
0.058,0.63
0.058,0.64
0.058,0.65
0.058,0.66
0.058,0.67
0.058,0.68
0.058,0.69
0.058,0.7
0.058,0.71
0.058,0.72
0.058,0.73
0.058,0.74
0.058,0.75
0.058,0.76
0.058,0.77
0.058,0.78
0.058,0.79
0.058,0.8
0.058,0.81
0.058,0.82
0.058,0.83
0.058,0.84
0.058,0.85
0.058,0.86
0.058,0.87
0.058,0.88
0.058,0.89
0.058,0.9
0.059,0.48
0.059,0.49
0.059,0.5
0.059,0.51
0.059,0.52
0.059,0.53
0.059,0.54
0.059,0.55
0.059,0.56
0.059,0.57
0.059,0.58
0.059,0.59
0.059,0.6
0.059,0.61
0.059,0.62
0.059,0.63
0.059,0.64
0.059,0.65
0.059,0.66
0.059,0.67
0.059,0.68
0.059,0.69
0.059,0.7
0.059,0.71
0.059,0.72
0.059,0.73
0.059,0.74
0.059,0.75
0.059,0.76
0.059,0.77
0.059,0.78
0.059,0.79
0.059,0.8
0.059,0.81
0.059,0.82
0.059,0.83
0.059,0.84
0.059,0.85
0.06,0.46
0.06,0.47
0.06,0.48
0.06,0.49
0.06,0.5
0.06,0.51
0.06,0.52
0.06,0.53
0.06,0.54
0.06,0.55
0.06,0.56
0.06,0.57
0.06,0.58
0.06,0.59
0.06,0.6
0.06,0.61
0.06,0.62
0.06,0.63
0.06,0.64
0.06,0.65
0.06,0.66
0.06,0.67
0.06,0.68
0.06,0.69
0.06,0.7
0.06,0.71
0.06,0.72
0.06,0.73
0.06,0.74
0.06,0.75
0.06,0.76
0.06,0.77
0.06,0.78
0.06,0.79
0.06,0.8
0.06,0.81
0.06,0.82
0.061,0.45
0.061,0.46
0.061,0.47
0.061,0.48
0.061,0.49
0.061,0.5
0.061,0.51
0.061,0.52
0.061,0.53
0.061,0.54
0.061,0.55
0.061,0.56
0.061,0.57
0.061,0.58
0.061,0.59
0.061,0.6
0.061,0.61
0.061,0.62
0.061,0.63
0.061,0.64
0.061,0.65
0.061,0.66
0.061,0.67
0.061,0.68
0.061,0.69
0.061,0.7
0.061,0.71
0.061,0.72
0.061,0.73
0.061,0.74
0.061,0.75
0.061,0.76
0.061,0.77
0.061,0.78
0.061,0.79
0.062,0.44
0.062,0.45
0.062,0.46
0.062,0.47
0.062,0.48
0.062,0.49
0.062,0.5
0.062,0.51
0.062,0.52
0.062,0.53
0.062,0.54
0.062,0.55
0.062,0.56
0.062,0.57
0.062,0.58
0.062,0.59
0.062,0.6
0.062,0.61
0.062,0.62
0.062,0.63
0.062,0.64
0.062,0.65
0.062,0.66
0.062,0.67
0.062,0.68
0.062,0.69
0.062,0.7
0.062,0.71
0.062,0.72
0.062,0.73
0.062,0.74
0.062,0.75
0.062,0.76
0.062,0.77
0.063,0.43
0.063,0.44
0.063,0.45
0.063,0.46
0.063,0.47
0.063,0.48
0.063,0.49
0.063,0.5
0.063,0.51
0.063,0.52
0.063,0.53
0.063,0.54
0.063,0.55
0.063,0.56
0.063,0.57
0.063,0.58
0.063,0.59
0.063,0.6
0.063,0.61
0.063,0.62
0.063,0.63
0.063,0.64
0.063,0.65
0.063,0.66
0.063,0.67
0.063,0.68
0.063,0.69
0.063,0.7
0.063,0.71
0.063,0.72
0.063,0.73
0.064,0.42
0.064,0.43
0.064,0.44
0.064,0.45
0.064,0.46
0.064,0.47
0.064,0.48
0.064,0.49
0.064,0.5
0.064,0.51
0.064,0.52
0.064,0.53
0.064,0.54
0.064,0.55
0.064,0.56
0.064,0.57
0.064,0.58
0.064,0.59
0.064,0.6
0.064,0.61
0.064,0.62
0.064,0.63
0.064,0.64
0.064,0.65
0.064,0.66
0.064,0.67
0.064,0.68
0.064,0.69
0.064,0.7
0.064,0.71
0.065,0.41
0.065,0.42
0.065,0.43
0.065,0.44
0.065,0.45
0.065,0.46
0.065,0.47
0.065,0.48
0.065,0.49
0.065,0.5
0.065,0.51
0.065,0.52
0.065,0.53
0.065,0.54
0.065,0.55
0.065,0.56
0.065,0.57
0.065,0.58
0.065,0.59
0.065,0.6
0.065,0.61
0.065,0.62
0.065,0.63
0.065,0.64
0.065,0.65
0.065,0.66
0.065,0.67
0.065,0.68
0.066,0.4
0.066,0.41
0.066,0.42
0.066,0.43
0.066,0.44
0.066,0.45
0.066,0.46
0.066,0.47
0.066,0.48
0.066,0.49
0.066,0.5
0.066,0.51
0.066,0.52
0.066,0.53
0.066,0.54
0.066,0.55
0.066,0.56
0.066,0.57
0.066,0.58
0.066,0.59
0.066,0.6
0.066,0.61
0.066,0.62
0.066,0.63
0.066,0.64
0.066,0.65
0.066,0.66
0.066,0.67
0.067,0.39
0.067,0.4
0.067,0.41
0.067,0.42
0.067,0.43
0.067,0.44
0.067,0.45
0.067,0.46
0.067,0.47
0.067,0.48
0.067,0.49
0.067,0.5
0.067,0.51
0.067,0.52
0.067,0.53
0.067,0.54
0.067,0.55
0.067,0.56
0.067,0.57
0.067,0.58
0.067,0.59
0.067,0.6
0.067,0.61
0.067,0.62
0.067,0.63
0.067,0.64
0.067,0.65
0.068,0.38
0.068,0.39
0.068,0.4
0.068,0.41
0.068,0.42
0.068,0.43
0.068,0.44
0.068,0.45
0.068,0.46
0.068,0.47
0.068,0.48
0.068,0.49
0.068,0.5
0.068,0.51
0.068,0.52
0.068,0.53
0.068,0.54
0.068,0.55
0.068,0.56
0.068,0.57
0.068,0.58
0.068,0.59
0.068,0.6
0.068,0.61
0.068,0.62
0.068,0.63
0.069,0.37
0.069,0.38
0.069,0.39
0.069,0.4
0.069,0.41
0.069,0.42
0.069,0.43
0.069,0.44
0.069,0.45
0.069,0.46
0.069,0.47
0.069,0.48
0.069,0.49
0.069,0.5
0.069,0.51
0.069,0.52
0.069,0.53
0.069,0.54
0.069,0.55
0.069,0.56
0.069,0.57
0.069,0.58
0.069,0.59
0.069,0.6
0.069,0.61
0.07,0.37
0.07,0.38
0.07,0.39
0.07,0.4
0.07,0.41
0.07,0.42
0.07,0.43
0.07,0.44
0.07,0.45
0.07,0.46
0.07,0.47
0.07,0.48
0.07,0.49
0.07,0.5
0.07,0.51
0.07,0.52
0.07,0.53
0.07,0.54
0.07,0.55
0.07,0.56
0.07,0.57
0.07,0.58
0.07,0.59
0.071,0.36
0.071,0.37
0.071,0.38
0.071,0.39
0.071,0.4
0.071,0.41
0.071,0.42
0.071,0.43
0.071,0.44
0.071,0.45
0.071,0.46
0.071,0.47
0.071,0.48
0.071,0.49
0.071,0.5
0.071,0.51
0.071,0.52
0.071,0.53
0.071,0.54
0.071,0.55
0.071,0.56
0.071,0.57
0.071,0.58
0.072,0.35
0.072,0.36
0.072,0.37
0.072,0.38
0.072,0.39
0.072,0.4
0.072,0.41
0.072,0.42
0.072,0.43
0.072,0.44
0.072,0.45
0.072,0.46
0.072,0.47
0.072,0.48
0.072,0.49
0.072,0.5
0.072,0.51
0.072,0.52
0.072,0.53
0.072,0.54
0.072,0.55
0.072,0.56
0.073,0.35
0.073,0.36
0.073,0.37
0.073,0.38
0.073,0.39
0.073,0.4
0.073,0.41
0.073,0.42
0.073,0.43
0.073,0.44
0.073,0.45
0.073,0.46
0.073,0.47
0.073,0.48
0.073,0.49
0.073,0.5
0.073,0.51
0.073,0.52
0.073,0.53
0.073,0.54
0.073,0.55
0.074,0.34
0.074,0.35
0.074,0.36
0.074,0.37
0.074,0.38
0.074,0.39
0.074,0.4
0.074,0.41
0.074,0.42
0.074,0.43
0.074,0.44
0.074,0.45
0.074,0.46
0.074,0.47
0.074,0.48
0.074,0.49
0.074,0.5
0.074,0.51
0.074,0.52
0.074,0.53
0.074,0.54
0.075,0.33
0.075,0.34
0.075,0.35
0.075,0.36
0.075,0.37
0.075,0.38
0.075,0.39
0.075,0.4
0.075,0.41
0.075,0.42
0.075,0.43
0.075,0.44
0.075,0.45
0.075,0.46
0.075,0.47
0.075,0.48
0.075,0.49
0.075,0.5
0.075,0.51
0.075,0.52
0.076,0.33
0.076,0.34
0.076,0.35
0.076,0.36
0.076,0.37
0.076,0.38
0.076,0.39
0.076,0.4
0.076,0.41
0.076,0.42
0.076,0.43
0.076,0.44
0.076,0.45
0.076,0.46
0.076,0.47
0.076,0.48
0.076,0.49
0.076,0.5
0.076,0.51
0.077,0.32
0.077,0.33
0.077,0.34
0.077,0.35
0.077,0.36
0.077,0.37
0.077,0.38
0.077,0.39
0.077,0.4
0.077,0.41
0.077,0.42
0.077,0.43
0.077,0.44
0.077,0.45
0.077,0.46
0.077,0.47
0.077,0.48
0.077,0.49
0.077,0.5
0.078,0.32
0.078,0.33
0.078,0.34
0.078,0.35
0.078,0.36
0.078,0.37
0.078,0.38
0.078,0.39
0.078,0.4
0.078,0.41
0.078,0.42
0.078,0.43
0.078,0.44
0.078,0.45
0.078,0.46
0.078,0.47
0.078,0.48
0.078,0.49
0.079,0.31
0.079,0.32
0.079,0.33
0.079,0.34
0.079,0.35
0.079,0.36
0.079,0.37
0.079,0.38
0.079,0.39
0.079,0.4
0.079,0.41
0.079,0.42
0.079,0.43
0.079,0.44
0.079,0.45
0.079,0.46
0.079,0.47
0.079,0.48
0.08,0.31
0.08,0.32
0.08,0.33
0.08,0.34
0.08,0.35
0.08,0.36
0.08,0.37
0.08,0.38
0.08,0.39
0.08,0.4
0.08,0.41
0.08,0.42
0.08,0.43
0.08,0.44
0.08,0.45
0.08,0.46
0.08,0.47
0.081,0.3
0.081,0.31
0.081,0.32
0.081,0.33
0.081,0.34
0.081,0.35
0.081,0.36
0.081,0.37
0.081,0.38
0.081,0.39
0.081,0.4
0.081,0.41
0.081,0.42
0.081,0.43
0.081,0.44
0.081,0.45
0.081,0.46
0.082,0.3
0.082,0.31
0.082,0.32
0.082,0.33
0.082,0.34
0.082,0.35
0.082,0.36
0.082,0.37
0.082,0.38
0.082,0.39
0.082,0.4
0.082,0.41
0.082,0.42
0.082,0.43
0.082,0.44
0.082,0.45
0.083,0.29
0.083,0.3
0.083,0.31
0.083,0.32
0.083,0.33
0.083,0.34
0.083,0.35
0.083,0.36
0.083,0.37
0.083,0.38
0.083,0.39
0.083,0.4
0.083,0.41
0.083,0.42
0.083,0.43
0.083,0.44
0.084,0.29
0.084,0.3
0.084,0.31
0.084,0.32
0.084,0.33
0.084,0.34
0.084,0.35
0.084,0.36
0.084,0.37
0.084,0.38
0.084,0.39
0.084,0.4
0.084,0.41
0.084,0.42
0.084,0.43
0.085,0.28
0.085,0.29
0.085,0.3
0.085,0.31
0.085,0.32
0.085,0.33
0.085,0.34
0.085,0.35
0.085,0.36
0.085,0.37
0.085,0.38
0.085,0.39
0.085,0.4
0.085,0.41
0.085,0.42
0.085,0.43
0.086,0.28
0.086,0.29
0.086,0.3
0.086,0.31
0.086,0.32
0.086,0.33
0.086,0.34
0.086,0.35
0.086,0.36
0.086,0.37
0.086,0.38
0.086,0.39
0.086,0.4
0.086,0.41
0.086,0.42
0.087,0.27
0.087,0.28
0.087,0.29
0.087,0.3
0.087,0.31
0.087,0.32
0.087,0.33
0.087,0.34
0.087,0.35
0.087,0.36
0.087,0.37
0.087,0.38
0.087,0.39
0.087,0.4
0.087,0.41
0.088,0.27
0.088,0.28
0.088,0.29
0.088,0.3
0.088,0.31
0.088,0.32
0.088,0.33
0.088,0.34
0.088,0.35
0.088,0.36
0.088,0.37
0.088,0.38
0.088,0.39
0.088,0.4
0.089,0.27
0.089,0.28
0.089,0.29
0.089,0.3
0.089,0.31
0.089,0.32
0.089,0.33
0.089,0.34
0.089,0.35
0.089,0.36
0.089,0.37
0.089,0.38
0.089,0.39
0.089,0.4
0.09,0.26
0.09,0.27
0.09,0.28
0.09,0.29
0.09,0.3
0.09,0.31
0.09,0.32
0.09,0.33
0.09,0.34
0.09,0.35
0.09,0.36
0.09,0.37
0.09,0.38
0.09,0.39
0.091,0.26
0.091,0.27
0.091,0.28
0.091,0.29
0.091,0.3
0.091,0.31
0.091,0.32
0.091,0.33
0.091,0.34
0.091,0.35
0.091,0.36
0.091,0.37
0.091,0.38
0.092,0.25
0.092,0.26
0.092,0.27
0.092,0.28
0.092,0.29
0.092,0.3
0.092,0.31
0.092,0.32
0.092,0.33
0.092,0.34
0.092,0.35
0.092,0.36
0.092,0.37
0.092,0.38
0.093,0.25
0.093,0.26
0.093,0.27
0.093,0.28
0.093,0.29
0.093,0.3
0.093,0.31
0.093,0.32
0.093,0.33
0.093,0.34
0.093,0.35
0.093,0.36
0.093,0.37
0.094,0.25
0.094,0.26
0.094,0.27
0.094,0.28
0.094,0.29
0.094,0.3
0.094,0.31
0.094,0.32
0.094,0.33
0.094,0.34
0.094,0.35
0.094,0.36
0.094,0.37
0.095,0.25
0.095,0.26
0.095,0.27
0.095,0.28
0.095,0.29
0.095,0.3
0.095,0.31
0.095,0.32
0.095,0.33
0.095,0.34
0.095,0.35
0.095,0.36
0.096,0.24
0.096,0.25
0.096,0.26
0.096,0.27
0.096,0.28
0.096,0.29
0.096,0.3
0.096,0.31
0.096,0.32
0.096,0.33
0.096,0.34
0.096,0.35
0.097,0.24
0.097,0.25
0.097,0.26
0.097,0.27
0.097,0.28
0.097,0.29
0.097,0.3
0.097,0.31
0.097,0.32
0.097,0.33
0.097,0.34
0.097,0.35
0.098,0.24
0.098,0.25
0.098,0.26
0.098,0.27
0.098,0.28
0.098,0.29
0.098,0.3
0.098,0.31
0.098,0.32
0.098,0.33
0.098,0.34
0.099,0.23
0.099,0.24
0.099,0.25
0.099,0.26
0.099,0.27
0.099,0.28
0.099,0.29
0.099,0.3
0.099,0.31
0.099,0.32
0.099,0.33
0.099,0.34
0.1,0.23
0.1,0.24
0.1,0.25
0.1,0.26
0.1,0.27
0.1,0.28
0.1,0.29
0.1,0.3
0.1,0.31
0.1,0.32
0.1,0.33
